OBJECTID,VALUE,long,lat,X,Y
10501,463045,-122.3108586,47.69319278,-122.3108586,47.69319278
10502,256601,-122.3776768,47.67119919,-122.3776768,47.67119919
10503,0,-122.3777143,47.67257448,-122.3777143,47.67257448
10504,529743,-122.3777143,47.67257448,-122.3777143,47.67257448
10505,0,-122.2965702,47.6151298,-122.2965702,47.6151298
10506,605600,-122.3106479,47.68372158,-122.3106479,47.68372158
10507,605600,-122.3106479,47.68372158,-122.3106479,47.68372158
10508,0,-122.3106479,47.68372158,-122.3106479,47.68372158
10509,162751,-122.3777019,47.67068012,-122.3777019,47.67068012
10510,0,-122.3777019,47.67068012,-122.3777019,47.67068012
10511,451494,-122.3777089,47.67353007,-122.3777089,47.67353007
10512,186418,-122.3777459,47.67439695,-122.3777459,47.67439695
10513,217144,-122.3102992,47.58889604,-122.3102992,47.58889604
10514,217144,-122.3102992,47.58889604,-122.3102992,47.58889604
10515,409512,-122.3092509,47.58887004,-122.3092509,47.58887004
10516,187423,-122.3081727,47.58882313,-122.3081727,47.58882313
10517,273519,-122.299986,47.58844458,-122.299986,47.58844458
10518,273519,-122.299986,47.58844458,-122.299986,47.58844458
10519,0,-122.3113733,47.58896407,-122.3113733,47.58896407
10520,313979,-122.3113733,47.58896407,-122.3113733,47.58896407
10521,0,-122.3777391,47.67110195,-122.3777391,47.67110195
10522,255091,-122.3777391,47.67110195,-122.3777391,47.67110195
10523,202000,-122.3777202,47.67267894,-122.3777202,47.67267894
10524,0,-122.3108008,47.58894727,-122.3108008,47.58894727
10525,143052,-122.3108008,47.58894727,-122.3108008,47.58894727
10526,0,-122.3028342,47.58852688,-122.3028342,47.58852688
10527,802074,-122.3028342,47.58852688,-122.3028342,47.58852688
10528,393065,-122.2788297,47.63317786,-122.2788297,47.63317786
10529,0,-122.3271501,47.61507394,-122.32715,47.61507394
10530,174364,-122.3777232,47.67059628,-122.3777232,47.67059628
10531,279124,-122.3777396,47.67568866,-122.3777396,47.67568866
10532,375437,-122.3118002,47.56133617,-122.3118002,47.56133617
10533,0,-122.3783367,47.66842115,-122.3783367,47.66842115
10534,1174386,-122.3113556,47.58864054,-122.3113556,47.58864054
10535,95099,-122.3783866,47.67339731,-122.3783866,47.67339731
10536,387938,-122.3783112,47.67401865,-122.3783112,47.67401865
10537,50000,-122.2918123,47.5880769,-122.2918123,47.5880769
10538,0,-122.3783171,47.67144009,-122.3783171,47.67144009
10539,226672,-122.3783171,47.67144009,-122.3783171,47.67144009
